CodigoDC,Cliente,Marca,Cupo
355085,11772,40,16
355089,7627,40,16
355090,10772,40,16
355090,13267,40,16
355091,1939,40,16
355091,8282,40,16
355092,692,40,16
355093,930,40,16
355093,4713,40,16
355093,5652,40,16
355093,6794,40,16
355093,8909,40,16
355093,11370,40,16
355093,13381,40,16
355094,2084,40,16
355095,841,40,16
355095,1678,40,16
355095,1736,40,16
355096,2247,40,16
355096,3159,40,16
355096,3753,40,16
355096,3808,40,16
355096,3847,40,16
355096,3886,40,16
355096,4469,40,16
355096,5480,40,16
355096,5944,40,16
355096,6250,40,16
355096,6834,40,16
355096,8605,40,16
355096,11157,40,16
355096,13280,40,16
355097,10432,39,20
355098,2095,40,16
355100,360,40,16
355100,2209,40,16
355100,3822,40,16
355100,5038,40,16
355100,5931,40,16
355100,6317,40,16
355100,6985,40,16
355100,9685,40,16
355100,10842,40,16
355100,12167,40,16
355100,13399,40,16
355100,13446,40,16
355101,1889,39,20
355103,1181,40,16
355104,11074,40,16
355104,12446,40,16
355106,3170,40,16
355106,3973,40,16
355106,7405,40,16
355106,11204,40,16
355108,11135,39,20
355109,1726,40,16
355109,10540,40,16
356023,3498,40,16
356178,4852,40,16
356196,3568,40,16
356196,3601,40,16
356196,6900,40,16
356196,7859,40,16
356200,7752,40,16
356202,1782,40,16
356202,2594,40,16
356214,1981,40,16
356252,4850,40,16
356254,5544,40,16
356254,6171,40,16
356254,11110,40,16
356254,11991,40,16
356308,11219,40,16
356311,2713,39,20
356354,12924,40,16
356395,6383,40,16
356398,3752,40,16
356399,2041,40,16
356430,10184,40,16
356433,3593,40,16
356433,6968,40,16
356435,8584,39,20
356474,615,40,16
356474,3405,40,16
356474,3857,40,16
356474,9173,40,16
356500,4545,40,16
356500,6159,40,16
356500,12141,40,16
356524,918,40,16
356581,2646,40,16
356621,6942,40,16
356629,12217,40,16
356635,2997,40,16
356661,10083,39,20
356662,1647,40,16
356668,11662,40,16
356686,10207,40,16
356810,11245,40,16
356954,9764,39,20
357039,6424,40,16
357039,9712,40,16
357039,11368,40,16
357039,11938,40,16
357045,6444,39,20
357057,1981,40,16
357075,2932,39,20
357096,12458,40,16
357097,8243,40,16
357097,12914,40,16
357261,5410,40,16
357272,10648,40,16
357276,7118,40,16
357317,9414,40,16
357369,6,40,16
357372,12604,40,16
357457,13145,40,16
357474,10354,40,16
357506,11548,40,16
357522,9895,40,16
357525,8476,39,20
357556,11847,40,16
357560,12838,40,16
357613,13547,39,20
357626,887,40,16
357674,6092,40,16
357674,6632,40,16
357674,6634,40,16
357674,10955,40,16
357675,1224,39,20
357677,9617,39,20
357678,2770,39,20
357678,2770,40,16
357678,7125,40,16
357679,3240,40,16
357679,3322,40,16
357679,4212,40,16
357679,6397,40,16
357679,8796,40,16
357679,10677,40,16
357680,11419,40,16
357683,10046,40,16
357684,2407,39,20
357684,2407,40,16
357684,4247,40,16
357684,6386,40,16
357685,6302,40,16
357685,10520,40,16
357686,5878,40,16
357686,7093,40,16
357686,7705,40,16
357686,8664,40,16
357686,12873,40,16
357688,4611,40,16
357688,8512,40,16
357694,453,40,16
357694,2218,40,16
357694,5394,40,16
357694,9925,40,16
357694,13079,40,16
357695,349,40,16
357695,3302,40,16
357695,3460,40,16
357695,3683,40,16
357695,3816,40,16
357695,4006,40,16
357695,4105,40,16
357695,4118,40,16
357695,5390,39,20
357695,5879,40,16
357695,6497,40,16
357695,6926,40,16
357695,7267,40,16
357695,8047,40,16
357695,8258,40,16
357695,9044,40,16
357695,9548,40,16
357695,10463,40,16
357695,10479,40,16
357695,10980,40,16
357695,12049,40,16
357695,12582,40,16
357696,8301,40,16
357696,12625,40,16
357697,6479,40,16
357697,12911,40,16
357698,7066,40,16
357700,2642,39,20
357701,2564,39,20
357701,4293,40,16
357701,5121,39,20
357701,5996,39,20
357701,7808,39,20
357701,8831,39,20
357701,9358,39,20
357701,9798,39,20
357701,11641,40,16
357701,13179,39,20
357702,1048,40,16
357702,4981,39,20
357702,7576,40,16
357702,7946,39,20
357703,1651,40,16
357704,4688,40,16
357704,4770,40,16
357704,5051,40,16
357704,12274,40,16
357704,12565,40,16
357704,13322,40,16
357705,1568,40,16
357705,1678,40,16
357705,5203,40,16
357705,5205,40,16
357705,6345,40,16
357705,12893,40,16
357706,822,40,16
357706,4477,40,16
357706,7878,40,16
357707,856,40,16
357707,969,40,16
357707,1832,40,16
357707,4622,40,16
357707,4661,40,16
357707,4677,40,16
357707,5499,40,16
357707,6032,40,16
357707,10125,40,16
357707,10497,40,16
357707,10892,40,16
357707,11173,40,16
357707,12531,40,16
357707,12698,40,16
357707,13586,40,16
357708,3162,40,16
357709,338,40,16
357709,346,39,20
357709,380,40,16
357709,450,40,16
357709,462,40,16
357709,484,40,16
357709,532,40,16
357709,568,40,16
357709,2148,40,16
357709,2168,40,16
357709,3227,40,16
357709,3757,40,16
357709,3863,40,16
357709,3941,40,16
357709,4009,40,16
357709,4097,40,16
357709,4106,40,16
357709,5094,40,16
357709,5227,40,16
357709,5266,40,16
357709,6168,40,16
357709,6483,40,16
357709,6671,40,16
357709,6994,40,16
357709,8712,40,16
357709,9463,40,16
357709,10007,40,16
357709,10160,40,16
357739,12139,40,16
357814,220,40,16
357814,12326,40,16
357815,2525,39,20
357815,6833,39,20
357815,8310,39,20
357815,8714,39,20
357817,1087,40,16
357817,1604,40,16
357817,1783,39,20
357817,2530,39,20
357817,2590,39,20
357817,2610,39,20
357817,2690,39,20
357817,2785,40,16
357817,2789,39,20
357817,2803,39,20
357817,2834,39,20
357817,4225,40,16
357817,4295,40,16
357817,4938,40,16
357817,5925,39,20
357817,6070,40,16
357817,7342,40,16
357817,7411,40,16
357817,8758,39,20
357817,10920,39,20
357817,12702,40,16
357817,13605,39,20
357818,4648,40,16
357818,4848,40,16
357818,11074,40,16
357820,5347,40,16
357820,7435,40,16
357820,11008,40,16
357820,11184,40,16
357820,11330,40,16
357820,12990,40,16
357822,562,40,16
357823,379,39,20
357823,379,40,16
357823,441,40,16
357823,457,40,16
357823,590,39,20
357823,631,40,16
357823,2189,40,16
357823,3066,40,16
357823,3210,40,16
357823,3350,40,16
357823,3457,40,16
357823,3691,40,16
357823,4102,40,16
357823,5753,40,16
357823,5967,40,16
357823,6317,40,16
357823,7319,40,16
357823,7673,40,16
357823,8459,39,20
357823,8459,40,16
357823,8524,40,16
357823,8722,40,16
357823,9145,40,16
357823,9213,40,16
357823,9214,39,20
357823,9430,40,16
357823,9583,40,16
357823,10171,40,16
357823,10472,40,16
357823,10561,40,16
357823,12108,40,16
357823,14102,40,16
357824,7979,39,20
357824,8670,39,20
357828,1821,39,20
357828,1821,40,16
357828,2362,39,20
357828,4880,39,20
357830,1833,40,16
357830,5215,40,16
357830,7279,40,16
357830,10910,40,16
357830,11708,40,16
357832,5941,40,16
357833,481,40,16
357833,494,40,16
357833,2233,40,16
357833,3170,40,16
357833,3472,40,16
357833,4025,40,16
357833,4057,40,16
357833,4158,40,16
357833,6134,40,16
357833,7963,40,16
357833,8774,40,16
357833,9039,40,16
357833,12813,40,16
357833,12851,40,16
357834,2794,39,20
357834,4300,40,16
357835,1687,40,16
357835,1919,39,20
364061,7060,40,16
364085,1001,40,16
364162,750,40,16
364218,5984,40,16
364224,8641,40,16
364241,7096,40,16
364293,940,40,16
364299,961,40,16
364366,7904,40,16
364401,12507,40,16
364429,10593,40,16
364665,10216,40,16
364693,5213,40,16
365072,6442,40,16
365215,1314,40,16
366381,3632,40,16
366584,3818,40,16
368063,2663,39,20
368188,228,40,16
369529,4913,39,20
369611,1945,40,16
369829,2072,40,16
369843,5877,40,16
369849,7662,40,16
369875,9687,40,16
369914,1730,40,16
369991,5421,40,16
370147,5275,40,16
370454,6328,40,16
370969,7660,40,16
370977,8476,40,16
371027,4986,40,16
371151,8787,40,16
371432,1640,40,16
371448,9321,40,16
371923,10599,39,20
372230,6013,40,16
372463,7882,40,16
372505,6082,40,16
372787,5558,40,16
373074,10246,40,16
373571,3686,40,16
373691,2949,40,16
374335,3983,40,16
374400,11567,40,16
374425,6554,40,16
374450,3756,40,16
374461,3881,40,16
374523,3804,40,16
374763,4002,40,16
374781,5678,40,16
374847,4003,40,16
374855,7184,40,16
374864,3769,40,16
375081,3977,40,16
375438,6707,40,16
375479,3080,40,16
375480,5374,40,16
375510,7773,40,16
375588,5359,40,16
375802,3292,40,16
375901,3115,40,16
376121,4970,40,16
376188,3019,40,16
376211,2971,40,16
376235,8230,40,16
376290,3197,40,16
376292,7037,40,16
376298,12961,40,16
376383,3016,40,16
376450,9866,40,16
376495,7156,40,16
376611,6353,40,16
376813,4164,40,16
376829,4100,40,16
376982,4039,40,16
377128,9144,40,16
377360,4072,40,16
377654,5718,40,16
377667,3206,40,16
377696,4489,40,16
377793,3250,40,16
377839,3384,40,16
377922,2148,40,16
378729,319,40,16
379025,10434,40,16
379349,8843,40,16
379734,3554,40,16
380102,499,40,16
380153,9735,40,16
380196,553,40,16
380198,416,40,16
381132,6243,40,16
381256,5796,40,16
381448,7559,40,16
381480,918,40,16
381764,8358,40,16
382026,12591,40,16
382146,6207,40,16
382158,5033,40,16
382506,4800,40,16
382766,4787,40,16
382851,6383,40,16
383033,13105,40,16
383086,6119,40,16
383099,9967,40,16
383465,862,40,16
383598,5506,40,16
383793,2095,40,16
383917,9546,40,16
383967,855,40,16
384019,7753,40,16
384028,11620,40,16
384171,6739,40,16
384462,7966,40,16
384504,790,40,16
386399,2056,40,16
386674,7447,40,16
386726,7998,40,16
386797,6825,40,16
387201,4363,40,16
387306,11301,40,16
387311,5008,40,16
387387,7356,39,20
387708,12416,40,16
387781,6346,40,16
388168,5980,39,20
388200,2739,39,20
388571,5136,39,20
388610,2374,39,20
388649,2402,39,20
388920,7914,39,20
389002,2388,39,20
389269,3689,40,16
389743,5931,40,16
389751,3723,40,16
390343,7501,40,16
390366,3982,40,16
390670,3866,40,16
390718,10651,40,16
390761,3863,40,16
390785,3773,40,16
390850,10734,40,16
391214,11640,40,16
391441,4338,40,16
391442,3487,40,16
391637,3175,40,16
391997,10940,40,16
392128,4066,40,16
392226,8819,40,16
392387,4383,40,16
392392,4065,40,16
392402,7986,40,16
392511,8389,40,16
392620,4173,40,16
392988,4166,40,16
393758,7143,40,16
393870,11368,40,16
393945,2195,40,16
394013,7249,40,16
394489,448,40,16
394704,11940,40,16
394901,8836,40,16
395053,5038,40,16
395209,502,40,16
395306,633,40,16
395325,12110,40,16
395405,3122,40,16
395438,8135,40,16
395446,3545,40,16
395460,4882,40,16
395689,6022,40,16
396281,524,40,16
396299,7611,40,16
396318,10165,40,16
396747,12784,40,16
396782,10818,40,16
397089,899,40,16
397094,900,40,16
397154,8142,40,16
397439,8933,40,16
397972,5565,40,16
398015,8468,40,16
398962,4106,40,16
399064,3947,40,16
399272,11633,40,16
399425,9833,40,16
400120,11243,40,16
400428,9667,39,20
402841,6444,39,20
403403,42,40,16
403952,5949,29,9
405054,4852,40,16
405056,11449,40,16
405065,6614,40,16
405065,7446,40,16
405065,13642,40,16
405066,4801,40,16
405068,7092,39,20
405068,9985,40,16
405068,10599,39,20
405106,6125,40,16
405107,12247,40,16
405148,2149,40,16
405148,2964,40,16
405148,10434,40,16
405148,11031,40,16
405148,12607,40,16
405150,1730,39,20
405150,7148,40,16
405150,10112,39,20
405189,10571,40,16
405190,9777,40,16
405223,7091,40,16
405224,12850,40,16
405252,5268,40,16
405282,3349,40,16
405305,4545,40,16
405307,6013,40,16
405347,3632,40,16
405347,3651,40,16
405350,2711,39,20
405424,3409,40,16
405424,5472,40,16
405431,10083,40,16
405473,7184,40,16
405528,7743,40,16
405529,839,40,16
405529,1760,40,16
405529,1787,40,16
405529,1867,40,16
405529,5619,40,16
405529,6786,40,16
405529,11910,40,16
405529,13387,40,16
405529,13411,40,16
405529,13984,40,16
405530,51,40,16
405530,667,40,16
405530,8747,39,20
405530,9201,40,16
405531,987,40,16
405531,4483,40,16
405531,9249,40,16
405531,13140,40,16
405531,13751,40,16
405533,3244,40,16
405533,3281,40,16
405533,3359,40,16
405533,3607,40,16
405533,3699,40,16
405533,3705,40,16
405533,3717,40,16
405533,4204,40,16
405533,5366,40,16
405533,5833,40,16
405533,6172,40,16
405533,6745,40,16
405533,7754,40,16
405533,9392,40,16
405533,11180,40,16
405533,12063,40,16
405533,12666,40,16
405534,12029,40,16
405534,14095,39,20
405535,2225,40,16
405535,3216,40,16
405535,3242,40,16
405535,3574,40,16
405535,4161,40,16
405535,5683,40,16
405535,6009,40,16
405535,7346,40,16
405535,9356,40,16
405535,13078,40,16
405536,998,40,16
405536,1891,40,16
405536,5217,40,16
405536,5665,40,16
405536,6433,40,16
405536,8203,40,16
405536,8414,40,16
405536,8500,40,16
405537,6442,40,16
405538,5541,40,16
405538,7161,40,16
405538,8028,40,16
405538,8234,39,20
405538,10520,40,16
405539,553,40,16
405539,2884,40,16
405539,3486,40,16
405539,3507,40,16
405539,5622,39,20
405539,8450,40,16
405539,12452,40,16
405539,12590,40,16
405539,12630,40,16
405539,12978,40,16
405540,898,40,16
405540,1579,40,16
405540,4633,40,16
405540,4651,40,16
405540,4661,40,16
405540,5464,40,16
405540,5796,40,16
405540,6726,40,16
405540,8784,40,16
405540,9992,40,16
405540,10572,40,16
405540,10685,40,16
405540,11503,40,16
405540,12311,40,16
405540,13317,40,16
405541,964,40,16
405541,4539,40,16
405541,6902,40,16
405541,10524,40,16
405541,12507,40,16
405543,1900,39,20
405543,1900,40,16
405543,6114,40,16
405544,3197,40,16
405544,3993,40,16
405544,4010,40,16
405544,6554,40,16
405544,10394,40,16
405544,13289,40,16
405544,13331,40,16
405545,971,40,16
405545,1000,40,16
405545,1021,40,16
405545,1575,40,16
405545,1607,40,16
405545,4516,40,16
405545,5342,40,16
405545,6256,40,16
405545,11330,40,16
405545,12778,40,16
405546,3689,40,16
405546,6244,40,16
405546,9162,40,16
405547,8855,40,16
405547,9716,39,20
405548,1798,40,16
405548,2855,39,20
405548,4258,39,20
405548,5636,40,16
405548,9362,39,20
405548,9855,40,16
405548,12854,40,16
405548,13579,39,20
405548,14067,40,16
405549,2949,40,16
405549,3684,40,16
405550,529,40,16
405550,532,40,16
405550,1025,40,16
405550,2158,40,16
405550,2215,40,16
405550,2237,40,16
405550,2247,40,16
405550,3811,40,16
405550,4859,40,16
405550,6036,40,16
405550,7068,40,16
405550,8123,40,16
405550,8382,40,16
405550,8719,40,16
405550,12203,40,16
405550,14038,40,16
405551,1087,40,16
405551,1641,40,16
405551,1693,40,16
405551,2514,39,20
405551,2518,39,20
405551,2575,39,20
405551,2636,39,20
405551,2648,39,20
405551,2723,39,20
405551,2746,39,20
405551,2847,39,20
405551,4220,39,20
405551,4225,40,16
405551,4277,40,16
405551,4417,40,16
405551,6097,39,20
405551,6609,39,20
405551,7309,39,20
405551,7908,40,16
405551,7974,39,20
405551,8072,39,20
405551,8532,39,20
405551,8788,40,16
405551,9192,39,20
405551,9192,40,16
405551,10979,40,16
405551,11935,40,16
405551,12760,39,20
405551,13108,39,20
405551,13481,40,16
405551,13686,40,16
405552,6025,40,16
405552,6519,40,16
405552,10510,40,16
405553,525,40,16
405553,546,40,16
405553,3252,40,16
405553,3643,40,16
405553,3814,40,16
405553,3829,40,16
405553,3938,40,16
405553,4079,40,16
405553,4099,40,16
405553,4922,40,16
405553,5611,40,16
405553,5626,40,16
405553,5767,40,16
405553,5779,40,16
405553,5991,40,16
405553,6342,40,16
405553,6818,40,16
405553,6950,40,16
405553,7573,40,16
405553,8258,40,16
405553,8773,40,16
405553,8908,40,16
405553,9548,40,16
405553,9564,40,16
405553,9758,40,16
405553,10674,40,16
405553,11117,40,16
405553,11598,40,16
405554,705,40,16
405554,1408,40,16
405554,10061,40,16
405555,2227,40,16
405555,3399,40,16
405555,3634,40,16
405555,5492,40,16
405555,5554,40,16
405555,5753,40,16
405555,5931,40,16
405555,5985,40,16
405555,6562,40,16
405555,6779,40,16
405555,6920,40,16
405555,9583,40,16
405555,9647,40,16
405555,10275,40,16
405555,10346,40,16
405555,10834,40,16
405555,11305,40,16
405555,11390,40,16
405555,12886,40,16
405556,749,40,16
405556,877,40,16
405556,999,40,16
405556,1001,40,16
405556,1585,40,16
405556,5655,40,16
405556,6734,40,16
405556,13506,40,16
405556,13575,40,16
405557,11077,40,16
405558,2685,39,20
405558,4233,39,20
405558,7616,40,16
405558,8516,40,16
405558,13103,39,20
405559,334,40,16
405559,3276,40,16
405559,3711,40,16
405559,3776,40,16
405559,3948,40,16
405559,4045,40,16
405559,4217,40,16
405559,4219,40,16
405559,6457,40,16
405559,7735,40,16
405559,8075,40,16
405559,8117,40,16
405559,8970,40,16
405559,10113,40,16
405560,2268,40,16
405561,2058,40,16
405561,2357,39,20
405561,2394,40,16
405561,2510,39,20
405561,2757,39,20
405561,2795,39,20
405561,5131,39,20
405561,6689,39,20
405561,9038,39,20
405561,9572,39,20
405561,10029,39,20
405561,10223,39,20
405561,10926,40,16
405561,11625,40,16
405561,11641,40,16
405561,12360,39,20
405561,12796,39,20
405562,1048,40,16
405562,1906,40,16
405562,1947,40,16
405562,2829,39,20
405562,4293,40,16
405562,4357,40,16
405562,6262,39,20
405562,7356,39,20
405562,7447,40,16
405562,13137,40,16
405562,13229,40,16
405563,4619,40,16
405563,4768,40,16
405563,4785,40,16
405563,5869,40,16
405563,6277,40,16
405563,7398,40,16
405563,8944,40,16
405563,10299,40,16
405563,12686,40,16
408678,8018,40,16
408680,7914,40,16
408681,3493,40,16
408681,3928,40,16
408681,3946,40,16
408681,13460,40,16
408682,12746,40,16
408685,415,40,16
408685,10382,40,16
408686,872,40,16
408686,6902,40,16
408686,8529,40,16
408690,7336,40,16
408690,10465,40,16
408690,13034,40,16
408690,13557,40,16
408691,315,40,16
408691,464,40,16
408691,5383,40,16
408691,7438,40,16
408696,5152,40,16
408696,6384,39,20
408696,8085,39,20
408696,9292,40,16
408696,10065,39,20
408696,10090,39,20
408700,5085,40,16
408700,9840,40,16
408700,11314,40,16
408702,3257,40,16
408702,7239,40,16
408703,7601,40,16
408703,8688,40,16
408703,8719,40,16
408704,2412,39,20
408704,7614,40,16
408704,11195,39,20
408705,6070,40,16
408705,8582,39,20
408705,10868,40,16
408705,12615,39,20
408706,5189,40,16
408706,8656,40,16
408706,13626,40,16
408710,9141,39,20
408710,9141,40,16
408711,3706,40,16
408711,11922,40,16
408712,8395,40,16
408712,10723,40,16
408716,2005,40,16
408716,8385,40,16
408717,10981,40,16
408717,13143,40,16
410491,1757,40,16
410492,12474,39,20
410632,11567,40,16
410673,5729,40,16
410673,9866,40,16
410673,11110,40,16
410820,2017,40,16
410983,5843,40,16
411100,3124,40,16
411100,3493,40,16
411100,3510,40,16
411100,4161,40,16
411100,6009,40,16
411100,12695,40,16
411105,1644,40,16
411107,13080,40,16
411109,13098,40,16
411111,3280,40,16
411111,7554,40,16
411111,10883,40,16
411112,7282,40,16
411112,8258,40,16
411112,14013,40,16
411117,2222,40,16
411117,3808,40,16
411117,5229,40,16
411117,5971,40,16
411117,9605,40,16
411117,11249,40,16
411117,12967,40,16
411120,4574,40,16
411120,12172,40,16
411120,12841,40,16
411122,9070,40,16
411122,10271,40,16
411123,1474,40,16
411124,3513,40,16
411124,3598,40,16
411124,5935,40,16
411124,8438,40,16
411124,10191,40,16
411124,10973,40,16
411128,8649,40,16
411128,9202,40,16
411131,761,40,16
411132,2602,40,16
411132,6075,40,16
411132,6718,39,20
411132,12737,40,16
411135,9777,40,16
411140,4393,40,16
411140,5140,39,20
411140,5636,40,16
411140,7400,39,20
411430,3505,40,16
411430,3507,40,16
411430,3841,40,16
411430,3871,40,16
411430,7405,40,16
411430,11078,40,16
411430,12250,40,16
411431,10380,40,16
411432,4610,40,16
411432,7375,40,16
411432,11988,40,16
411434,1116,40,16
411434,1776,40,16
411434,6581,39,20
411434,9544,39,20
411436,3075,40,16
411437,3930,40,16
411437,11672,40,16
411437,12002,40,16
411437,13370,40,16
411438,7794,40,16
411441,408,40,16
411441,3444,40,16
411441,3765,40,16
411441,3770,40,16
411441,3803,40,16
411441,3976,40,16
411441,5229,40,16
411441,5468,40,16
411441,5504,40,16
411441,5577,39,20
411441,7736,40,16
411441,9982,40,16
411441,10582,40,16
411441,12220,40,16
411441,12313,40,16
411441,12688,40,16
411441,13528,40,16
411444,1810,40,16
411444,2046,40,16
411444,2373,39,20
411444,2408,39,20
411444,4309,40,16
411444,4357,40,16
411444,6395,39,20
411444,7582,39,20
411444,8236,40,16
411444,8651,39,20
411444,9322,40,16
411444,9689,39,20
411444,10726,40,16
411444,11811,40,16
411444,13986,40,16
411447,1522,40,16
411447,10296,40,16
411450,1679,40,16
411450,6447,40,16
411450,13542,40,16
411455,912,40,16
411455,1726,40,16
411455,4507,40,16
411455,6255,40,16
411455,12778,40,16
411455,13586,40,16
411456,6332,40,16
411457,494,39,20
411457,579,40,16
411457,2889,40,16
411457,3175,40,16
411457,3240,40,16
411457,6779,40,16
411457,7103,40,16
411457,8590,40,16
411457,13375,40,16
411457,13662,40,16
411458,155,40,16
411458,12390,40,16
411459,4513,40,16
411459,6166,40,16
411459,9248,40,16
411460,352,40,16
411460,449,40,16
411460,532,40,16
411460,620,40,16
411460,3607,40,16
