Cliente,FechaAltaCliente,Region,Gerencia,SubCanal,TipoPoblacion,Estrato,EF
579,2009-08-04,3,32,9,1,3,1
584,2009-08-04,3,32,15,1,2,1
585,2009-08-04,3,32,9,1,2,0
587,2009-08-04,3,32,15,1,1,0
600,2009-08-04,3,32,16,2,3,1
607,2009-08-04,4,13,9,2,2,0
609,2009-08-04,4,13,9,2,2,0
615,2009-08-04,3,24,15,1,1,1
617,2009-08-04,3,24,15,1,1,0
629,2009-08-04,4,13,9,2,2,1
631,2009-08-04,3,24,10,1,2,0
635,2009-08-04,4,13,9,2,2,0
636,2009-08-04,4,13,15,2,1,0
646,2009-08-04,4,13,10,2,2,1
662,2009-08-04,4,13,15,2,2,1
672,2009-08-04,4,13,10,2,2,0
676,2009-08-04,4,13,9,2,1,1
678,2009-08-04,4,13,9,2,1,0
679,2009-08-04,4,13,9,2,1,0
683,2009-08-04,4,13,9,2,2,0
685,2009-08-04,4,13,10,2,2,0
690,2009-08-04,4,13,9,2,1,0
698,2009-08-04,4,13,9,2,1,0
699,2009-08-04,4,13,10,2,3,0
703,2009-08-04,4,13,9,2,2,0
705,2009-08-04,4,13,15,2,5,1
707,2009-08-04,4,13,9,2,2,0
708,2009-08-04,4,13,6,2,5,1
711,2009-08-04,4,13,16,1,3,0
716,2009-08-04,4,13,12,2,1,1
719,2009-08-04,4,13,10,2,1,0
722,2009-08-04,4,13,10,2,2,1
724,2009-08-04,3,24,15,1,2,0
730,2009-08-06,4,13,9,2,2,1
733,2009-08-07,4,26,16,2,3,0
759,2009-09-13,5,19,9,2,2,0
770,2009-09-13,5,19,12,1,1,1
771,2009-09-13,5,19,16,1,1,1
773,2009-09-13,5,17,10,2,2,1
788,2009-09-13,5,12,10,1,2,0
796,2009-09-13,5,17,9,2,2,1
798,2009-09-13,5,29,12,1,2,1
811,2009-09-13,5,19,9,2,3,0
812,2009-09-13,5,29,10,2,2,0
814,2009-09-13,5,12,9,2,3,0
818,2009-09-13,5,12,9,2,2,0
819,2009-09-13,5,12,16,2,2,1
828,2009-09-13,5,12,9,2,3,0
829,2009-09-13,5,12,9,2,2,0
850,2009-09-13,5,19,9,2,2,0
854,2009-09-13,5,19,9,2,2,1
855,2009-09-13,5,29,12,1,2,1
878,2009-09-14,5,19,10,2,2,0
883,2009-09-14,5,19,9,2,2,1
891,2009-09-14,5,19,10,2,3,1
896,2009-09-14,5,17,22,2,3,0
897,2009-09-14,5,17,9,2,3,0
904,2009-09-14,5,17,18,2,2,0
905,2009-09-14,5,17,15,2,2,0
908,2009-09-14,5,17,12,2,2,0
910,2009-09-14,5,17,12,2,3,1
911,2009-09-14,5,19,16,1,2,1
919,2009-09-14,5,19,10,1,2,0
928,2009-09-14,5,17,18,2,2,1
929,2009-09-14,5,17,9,2,1,0
932,2009-09-14,5,17,15,1,2,0
936,2009-09-14,5,19,18,1,2,0
938,2009-09-14,5,19,9,2,1,0
939,2009-09-14,5,29,10,2,3,0
942,2009-09-14,5,19,9,2,1,0
946,2009-09-14,5,19,9,2,2,1
953,2009-09-14,5,29,10,2,2,1
978,2009-09-14,5,29,12,1,2,0
979,2009-09-14,5,29,9,1,2,1
990,2009-09-14,5,17,15,1,4,1
991,2009-09-14,5,17,15,1,2,1
994,2009-09-14,1,4,12,2,1,1
996,2009-09-14,5,17,7,1,3,0
1038,2009-09-30,4,26,12,2,2,1
1057,2009-10-11,4,6,12,1,2,1
1062,2009-10-11,1,16,18,2,2,1
1113,2009-10-11,1,16,9,1,2,0
1128,2009-10-12,1,16,12,2,1,1
1140,2009-10-12,4,6,16,1,1,1
1141,2009-10-12,4,6,23,1,6,0
1145,2009-10-12,4,15,7,2,1,0
1151,2009-10-12,4,6,9,2,1,1
1161,2009-10-12,4,6,12,2,1,1
1166,2009-10-12,4,15,9,2,3,0
1173,2009-10-12,4,6,10,2,1,0
1191,2009-10-12,4,15,9,1,2,0
1210,2009-10-12,4,15,15,1,2,1
1211,2009-10-12,4,6,10,2,3,0
1213,2009-10-12,4,15,9,2,1,0
1217,2009-10-12,4,6,11,2,1,0
1223,2009-10-12,4,15,7,2,3,0
1228,2009-10-12,4,15,9,2,3,0
1230,2009-10-12,4,15,9,2,1,0
1231,2009-10-12,4,15,9,2,2,0
1234,2009-10-12,4,15,9,2,2,0
1235,2009-10-12,4,6,22,2,4,1
1251,2009-10-12,4,6,9,2,1,0
1255,2009-10-12,4,6,18,2,4,0
1257,2009-10-12,4,15,9,2,1,0
1262,2009-10-12,4,6,9,2,1,0
1269,2009-10-12,4,6,10,2,1,1
1286,2009-10-12,4,15,15,2,2,1
1295,2009-10-12,4,15,10,2,2,0
1297,2009-10-12,4,6,12,2,1,1
1299,2009-10-12,4,15,9,2,2,1
1315,2009-10-12,4,15,7,2,2,0
1319,2009-10-12,4,15,16,2,6,0
1330,2009-10-12,4,15,15,2,2,1
1343,2009-10-12,4,6,9,2,2,0
1344,2009-10-12,4,6,9,2,2,0
1346,2009-10-12,4,15,9,2,2,0
1355,2009-10-12,4,6,9,2,1,0
1367,2009-10-12,4,15,16,2,2,1
1368,2009-10-12,4,15,16,2,1,0
1369,2009-10-12,4,15,15,2,1,0
1379,2009-10-12,4,15,22,2,4,0
1380,2009-10-12,4,6,12,2,2,1
1386,2009-10-12,4,6,9,2,1,0
1393,2009-10-12,4,15,9,2,2,0
1399,2009-10-12,4,15,9,2,2,0
1400,2009-10-12,4,15,9,2,2,0
1406,2009-10-12,4,15,9,2,3,0
1414,2009-10-12,4,6,9,2,3,0
1416,2009-10-12,4,6,9,2,3,1
1424,2009-10-12,4,6,9,2,1,0
1435,2009-10-12,4,15,9,2,3,0
1438,2009-10-12,4,15,9,2,2,0
1451,2009-10-12,4,6,9,2,3,0
1458,2009-10-12,4,6,18,2,2,0
1472,2009-10-12,4,6,15,2,5,0
1479,2009-10-12,4,6,12,1,1,1
1480,2009-10-12,4,6,12,1,3,1
1487,2009-10-12,4,15,10,1,2,0
1488,2009-10-12,4,6,9,1,1,0
1489,2009-10-12,4,6,16,1,3,1
1507,2009-10-12,4,6,14,2,3,1
1510,2009-10-12,4,15,10,2,3,0
1516,2009-10-12,4,15,7,2,2,1
1522,2009-10-12,4,15,9,2,2,0
1523,2009-10-12,4,15,9,2,2,0
1525,2009-10-12,4,15,16,1,2,1
1528,2009-10-12,4,15,7,2,2,0
1549,2009-10-15,4,26,23,2,2,1
1550,2009-10-25,4,26,16,1,3,0
1554,2009-11-03,4,15,16,2,2,0
1563,2009-11-09,5,27,9,2,2,0
1576,2009-11-09,5,27,16,1,3,0
1582,2009-11-09,5,27,9,2,2,0
1587,2009-11-09,1,16,6,2,6,1
1588,2009-11-09,5,27,22,1,2,0
1589,2009-11-09,5,27,9,2,3,0
1598,2009-11-09,1,16,9,2,2,0
1600,2009-11-09,5,27,15,2,3,0
1605,2009-11-09,5,27,15,2,3,0
1610,2009-11-09,5,27,18,2,3,0
1616,2009-11-09,1,16,9,2,3,0
1628,2009-11-09,5,27,15,1,1,1
1636,2009-11-09,1,16,9,1,2,0
1641,2009-11-09,1,16,6,2,3,0
1653,2009-11-09,1,5,12,2,5,1
1658,2009-11-09,5,27,9,2,3,0
1659,2009-11-09,1,5,9,2,3,0
1662,2009-11-09,1,16,9,1,1,0
1663,2009-11-09,1,5,10,1,2,1
1665,2009-11-09,1,5,11,1,2,1
1679,2009-11-09,5,27,15,2,2,0
1681,2009-11-09,1,16,16,1,3,1
1683,2009-11-09,5,31,9,1,1,0
1684,2009-11-09,1,5,9,2,3,0
1686,2009-11-09,5,33,9,1,2,0
1690,2009-11-09,5,31,6,2,3,1
1699,2009-11-09,1,5,10,2,3,0
1705,2009-11-09,1,5,15,2,3,0
1712,2009-11-09,5,27,16,1,2,1
1714,2009-11-09,1,5,10,2,4,0
1728,2009-11-09,1,16,9,1,3,1
1732,2009-11-09,5,31,9,2,3,0
1733,2009-11-09,5,27,16,1,2,0
1747,2009-11-09,1,5,9,2,3,0
1752,2009-11-09,5,31,9,2,1,0
1759,2009-11-09,5,31,9,2,2,0
1767,2009-11-09,5,31,9,2,3,1
1772,2009-11-09,1,16,9,1,2,0
1779,2009-11-09,1,16,9,2,2,0
1782,2009-11-09,1,16,12,1,3,1
1799,2009-11-09,5,31,9,2,3,0
1804,2009-11-09,1,5,9,2,2,1
1807,2009-11-09,5,31,9,2,3,0
1811,2009-11-09,5,27,23,2,3,1
1814,2009-11-09,5,27,22,2,3,1
1815,2009-11-09,1,16,9,2,1,0
1817,2009-11-09,1,16,6,1,3,1
1822,2009-11-09,5,31,9,2,3,0
1825,2009-11-09,1,16,9,1,1,0
1827,2009-11-09,1,5,9,2,4,0
1834,2009-11-09,5,31,9,2,1,0
1868,2009-11-09,5,31,9,2,2,0
1869,2009-11-09,5,31,23,2,3,0
1870,2009-11-09,1,5,9,2,3,0
1874,2009-11-09,5,31,9,1,1,0
1877,2009-11-09,5,12,10,1,2,0
1903,2009-11-09,1,16,22,1,4,0
1905,2009-11-09,1,5,9,2,1,1
1908,2009-11-09,5,31,12,2,3,0
1919,2009-11-09,1,5,12,2,4,1
1933,2009-11-09,5,31,15,1,1,0
1941,2009-11-09,5,31,15,1,1,0
1942,2009-11-09,5,31,11,1,3,1
1948,2009-11-09,1,5,15,2,3,0
1951,2009-11-09,5,31,9,2,4,0
1959,2009-11-09,5,31,9,1,3,1
1968,2009-11-09,5,31,15,1,2,1
1982,2009-11-09,1,5,9,2,3,0
1987,2009-11-09,1,5,9,2,1,1
1992,2009-11-09,1,5,6,2,5,1
2009,2009-11-09,1,5,9,2,2,1
2015,2009-11-09,5,31,9,1,2,1
2023,2009-11-09,1,5,9,2,3,0
2030,2009-11-09,5,31,9,2,1,1
2033,2009-11-09,5,31,9,1,2,0
2049,2009-11-09,1,5,9,2,4,1
2055,2009-11-09,1,5,15,2,1,1
2057,2009-11-09,1,5,9,2,2,0
2059,2009-11-09,1,5,15,2,1,1
2074,2009-11-09,1,5,15,2,4,0
2092,2009-11-10,5,12,9,1,1,0
2096,2009-11-15,5,19,18,2,2,1
2100,2009-11-17,5,17,16,1,2,0
2106,2009-12-03,4,6,9,2,3,1
2109,2009-12-06,4,13,10,2,2,1
2114,2009-12-15,3,24,18,2,3,0
2121,2009-12-22,4,22,7,1,2,1
2123,2009-12-28,4,15,18,2,1,0
2126,2010-01-06,1,16,12,1,3,1
2128,2010-01-07,3,24,9,1,2,0
2130,2010-01-14,4,13,10,2,2,0
2131,2010-01-14,4,13,10,2,1,0
2150,2010-01-31,3,25,15,1,1,0
2151,2010-01-31,3,25,15,2,3,1
2156,2010-01-31,3,25,9,2,3,0
2158,2010-01-31,3,25,7,2,3,1
2159,2010-01-31,3,25,18,2,2,0
2162,2010-01-31,3,25,12,2,3,1
2168,2010-01-31,3,25,15,2,2,0
2170,2010-01-31,3,25,22,1,3,1
2171,2010-01-31,3,25,9,1,2,0
2177,2010-01-31,3,25,15,1,2,1
2180,2010-01-31,3,25,22,1,2,0
2185,2010-01-31,3,25,20,1,3,1
2192,2010-01-31,3,25,16,1,1,0
2193,2010-01-31,3,25,18,2,2,0
2195,2010-01-31,3,25,9,2,3,0
2205,2010-01-31,3,25,22,1,1,1
2208,2010-01-31,3,32,15,1,2,0
2211,2010-01-31,3,25,18,1,3,0
2212,2010-01-31,3,25,10,1,1,0
2215,2010-01-31,3,25,15,1,2,0
2229,2010-01-31,3,25,9,2,3,1
2242,2010-01-31,3,25,15,1,2,0
2243,2010-01-31,3,25,22,1,2,0
2254,2010-02-01,4,14,9,2,2,0
2256,2010-02-01,4,14,16,1,1,1
2259,2010-02-01,4,14,9,1,1,1
2266,2010-02-01,4,14,9,2,1,0
2289,2010-02-01,4,14,9,1,1,1
2301,2010-02-01,4,14,22,2,1,0
2303,2010-02-01,4,14,12,1,1,1
2323,2010-02-01,4,14,9,1,1,0
2324,2010-02-01,4,14,23,1,2,0
2338,2010-02-18,5,27,9,2,3,0
2341,2010-02-24,1,18,9,2,4,0
2347,2010-02-24,1,4,9,2,2,0
2351,2010-02-24,4,13,10,2,1,0
2368,2010-02-24,1,4,9,2,1,0
2387,2010-02-24,1,4,9,2,2,0
2395,2010-02-24,1,18,9,2,2,1
2400,2010-02-24,1,4,9,2,2,1
2403,2010-02-24,1,18,9,2,1,1
2457,2010-02-24,1,18,9,2,2,1
2464,2010-02-24,1,18,9,2,2,0
2465,2010-02-24,1,18,18,2,1,0
2470,2010-02-24,1,18,9,2,2,0
2471,2010-02-24,1,4,9,2,3,0
2472,2010-02-24,1,18,15,2,3,1
2474,2010-02-24,1,18,9,2,2,0
2475,2010-02-24,1,18,12,2,3,1
2477,2010-02-24,1,4,24,1,2,0
2488,2010-02-24,1,18,16,2,2,1
2504,2010-02-24,1,18,9,2,2,0
2506,2010-02-24,1,18,9,2,2,0
2507,2010-02-24,1,18,9,2,2,0
2522,2010-02-24,1,18,9,2,2,1
2524,2010-02-24,1,18,9,2,2,0
2535,2010-02-24,1,18,9,2,3,0
2538,2010-02-24,1,18,9,2,1,0
2548,2010-02-24,1,18,6,2,2,1
2552,2010-02-24,1,18,16,2,2,1
2557,2010-02-24,1,18,9,2,3,1
2559,2010-02-24,1,18,12,2,3,0
2560,2010-02-24,1,18,22,2,2,0
2566,2010-02-24,1,4,15,2,3,0
2568,2010-02-24,1,4,9,2,2,0
2576,2010-02-24,1,18,9,2,2,1
2577,2010-02-24,1,18,9,2,2,0
2581,2010-02-24,1,18,18,2,2,0
2583,2010-02-24,1,18,9,2,2,0
2587,2010-02-24,1,18,24,2,3,1
2598,2010-02-24,1,18,18,2,4,0
2599,2010-02-24,1,18,22,2,2,1
2612,2010-02-24,1,18,22,2,2,1
2616,2010-02-24,1,18,7,2,2,0
2624,2010-02-25,1,23,9,2,2,0
2637,2010-02-25,1,18,16,2,2,0
2645,2010-02-25,1,18,15,2,3,0
2656,2010-02-25,1,18,16,2,3,1
2685,2010-02-25,1,18,15,2,2,1
2687,2010-02-25,1,18,18,2,3,0
2688,2010-02-25,1,18,9,2,4,1
2699,2010-02-25,1,23,9,2,2,0
2702,2010-02-25,1,18,9,2,1,1
2712,2010-02-25,1,23,9,2,3,0
2719,2010-02-25,1,18,9,2,2,0
2721,2010-02-25,1,23,15,2,1,1
2722,2010-02-25,1,23,22,2,3,0
2723,2010-02-25,1,18,12,2,1,1
2730,2010-02-25,1,23,9,2,3,0
2738,2010-02-25,1,18,22,2,4,0
2747,2010-02-25,1,18,9,2,3,1
2751,2010-02-25,1,18,9,2,2,0
2755,2010-02-25,1,18,9,2,1,1
2757,2010-02-25,1,18,9,2,5,0
2765,2010-02-25,1,4,9,1,2,0
2770,2010-02-25,1,4,12,1,2,1
2787,2010-02-25,1,18,9,2,3,0
2794,2010-02-25,1,18,15,2,3,0
2803,2010-02-25,1,18,15,2,4,0
2807,2010-02-25,1,18,15,2,2,0
2814,2010-02-25,1,18,9,2,2,1
2815,2010-02-25,1,18,9,2,3,0
2827,2010-02-25,1,23,9,2,2,1
2829,2010-02-25,1,23,15,2,3,0
2830,2010-02-25,1,23,15,2,3,0
2839,2010-02-25,1,18,9,2,2,0
2841,2010-02-25,1,18,9,2,2,0
2844,2010-02-25,1,18,18,2,4,0
2850,2010-02-25,1,18,12,2,3,1
2852,2010-02-25,1,18,14,2,4,1
2853,2010-02-25,1,18,22,2,4,0
2871,2010-03-01,3,25,15,1,1,0
2881,2010-03-01,3,25,9,2,2,0
2882,2010-03-01,1,18,7,2,3,1
2883,2010-03-01,3,25,7,2,3,1
2905,2010-03-01,4,13,15,2,1,1
2912,2010-03-02,4,13,9,1,1,0
2915,2010-03-02,4,13,10,1,1,1
2921,2010-03-03,1,18,9,2,1,0
2922,2010-03-03,1,18,9,2,2,0
2926,2010-03-04,1,18,9,2,2,0
2950,2010-03-29,3,7,18,2,2,0
2956,2010-03-29,3,7,15,2,2,0
2957,2010-03-29,3,7,15,2,5,0
2962,2010-03-29,3,7,18,2,4,0
2964,2010-03-29,3,8,15,2,3,1
2981,2010-03-29,3,8,9,2,3,1
2998,2010-03-29,3,8,11,2,3,0
3007,2010-03-29,3,30,9,1,3,0
3011,2010-03-29,3,7,11,2,3,0
3017,2010-03-29,3,28,16,1,2,1
3021,2010-03-29,3,8,9,2,3,0
3023,2010-03-29,3,8,9,2,2,0
3027,2010-03-29,3,8,9,2,3,0
3028,2010-03-29,3,7,9,2,3,1
3036,2010-03-29,3,8,22,2,4,0
3037,2010-03-29,3,28,15,1,2,1
3046,2010-03-29,3,8,12,2,2,1
3048,2010-03-29,3,8,22,2,6,0
3064,2010-03-29,3,28,15,1,1,1
3065,2010-03-29,3,8,9,2,2,1
3073,2010-03-29,3,8,18,2,3,0
3080,2010-03-29,3,8,9,2,2,1
3089,2010-03-29,3,8,9,2,2,0
3098,2010-03-29,3,8,16,2,3,1
3102,2010-03-29,3,7,12,2,4,1
3112,2010-03-29,3,8,10,2,2,0
3114,2010-03-29,3,8,9,2,2,0
3116,2010-03-29,3,8,9,2,3,0
3127,2010-03-29,3,8,15,2,3,1
3132,2010-03-29,3,30,15,1,2,1
3133,2010-03-29,3,30,22,2,3,0
3145,2010-03-29,3,30,15,2,1,1
3150,2010-03-29,3,28,15,1,1,1
3155,2010-03-29,3,8,15,2,2,1
3161,2010-03-29,3,8,15,2,3,1
3165,2010-03-29,3,8,9,2,3,0
3190,2010-03-29,3,8,18,2,3,0
3196,2010-03-29,3,28,15,1,1,0
3197,2010-03-29,3,8,15,2,2,1
3198,2010-03-29,3,8,18,2,4,0
3199,2010-03-29,3,8,15,2,2,0
3211,2010-03-29,3,7,15,2,3,1
3218,2010-03-29,3,8,9,2,2,1
3234,2010-03-29,3,8,18,2,2,0
3244,2010-03-29,3,7,15,2,2,1
3255,2010-03-29,3,7,10,2,3,0
3256,2010-03-29,3,8,7,2,2,0
3260,2010-03-29,3,8,18,2,3,0
3264,2010-03-29,3,28,15,1,2,1
3275,2010-03-29,3,8,6,2,5,0
3284,2010-03-30,3,8,9,2,2,0
3290,2010-03-30,3,8,22,2,5,0
3291,2010-03-30,3,8,22,2,6,0
3302,2010-03-30,3,28,9,2,2,1
3303,2010-03-30,3,8,22,2,2,0
3306,2010-03-30,3,8,15,2,5,0
3312,2010-03-30,3,8,18,2,6,0
3315,2010-03-30,3,8,18,2,3,0
3317,2010-03-30,3,7,6,2,4,0
3318,2010-03-30,3,7,22,2,2,0
3329,2010-03-30,3,28,9,2,1,0
3333,2010-03-30,3,7,22,2,4,0
3334,2010-03-30,3,8,15,2,3,1
3350,2010-03-30,3,7,15,2,3,1
3374,2010-03-30,3,7,10,2,3,0
3376,2010-03-30,3,28,22,1,2,1
3382,2010-03-30,3,7,18,2,3,0
3386,2010-03-30,4,6,9,1,3,0
3388,2010-03-30,3,30,18,2,3,0
3397,2010-03-30,3,7,11,2,2,0
3398,2010-03-30,3,30,15,1,2,1
3409,2010-03-30,3,28,12,1,2,1
3411,2010-03-30,3,7,12,2,2,1
3416,2010-03-30,3,30,15,1,2,0
3434,2010-03-30,3,9,12,2,2,0
3436,2010-03-30,3,28,15,1,3,1
3437,2010-03-30,3,8,9,2,2,0
3440,2010-03-30,3,28,22,1,2,0
3444,2010-03-30,3,7,6,2,4,1
3447,2010-03-30,3,7,18,2,3,0
3449,2010-03-30,3,30,16,1,3,0
3456,2010-03-30,3,7,9,2,3,1
3466,2010-03-30,3,7,15,2,3,0
3471,2010-03-30,3,7,11,2,3,0
3474,2010-03-30,3,7,15,2,3,1
3480,2010-03-30,3,30,15,2,2,0
3484,2010-03-30,3,9,9,2,3,0
3489,2010-03-30,3,30,22,1,2,1
3508,2010-03-30,3,7,12,2,3,1
3514,2010-03-30,3,7,18,2,3,1
3515,2010-03-30,3,28,15,1,2,1
3516,2010-03-30,3,28,7,1,4,0
3518,2010-03-30,3,28,15,1,2,1
3526,2010-03-30,3,8,9,2,3,0
3527,2010-03-30,3,8,9,2,3,0
3529,2010-03-30,3,8,9,2,4,0
3531,2010-03-31,3,30,15,2,2,1
3543,2010-03-31,3,30,22,1,3,0
3544,2010-03-31,3,30,15,1,2,1
3553,2010-03-31,3,30,9,2,1,0
3562,2010-03-31,3,30,15,1,2,1
3567,2010-03-31,3,8,15,2,3,0
3569,2010-03-31,3,30,7,2,2,0
3570,2010-03-31,3,30,16,2,2,1
3582,2010-03-31,3,8,9,2,3,1
3597,2010-03-31,3,7,22,2,3,0
3603,2010-03-31,3,28,10,1,2,1
3607,2010-03-31,3,28,9,1,1,1
3608,2010-03-31,3,28,15,1,1,0
3610,2010-03-31,3,28,15,1,3,1
3620,2010-03-31,3,28,15,1,2,1
3634,2010-03-31,3,9,15,2,2,1
3636,2010-04-01,3,8,18,2,3,0
3638,2010-04-01,3,8,18,2,5,0
3643,2010-04-01,3,28,22,1,1,1
3649,2010-04-01,3,7,12,2,3,0
3658,2010-04-05,3,24,9,1,2,1
3662,2010-04-08,4,21,12,2,1,1
3663,2010-04-08,3,32,10,1,1,0
3672,2010-04-15,5,27,7,2,3,0
3677,2010-04-19,1,18,22,2,5,0
3680,2010-04-25,3,7,6,2,3,0
3685,2010-04-25,3,7,15,2,2,0
3692,2010-04-25,3,7,22,2,3,0
3698,2010-04-25,3,7,15,2,2,0
3702,2010-04-25,3,7,18,2,2,0
3703,2010-04-25,3,7,15,2,2,1
3713,2010-04-26,3,7,18,2,1,0
3714,2010-04-26,3,7,15,2,3,1
3715,2010-04-26,3,7,22,2,3,1
3718,2010-04-26,3,7,15,2,3,0
3729,2010-04-26,3,7,15,2,3,1
3740,2010-04-26,3,10,9,2,2,0
3745,2010-04-26,3,10,15,2,3,0
3746,2010-04-26,3,10,9,2,3,1
3757,2010-04-26,3,10,10,2,2,0
3765,2010-04-26,3,10,9,2,2,0
3777,2010-04-26,3,10,24,2,3,0
3778,2010-04-26,3,10,24,2,3,0
3779,2010-04-26,3,10,7,2,3,0
3786,2010-04-26,3,10,15,2,1,0
3798,2010-04-26,3,10,12,2,2,1
3803,2010-04-26,3,10,9,2,2,0
3804,2010-04-26,3,10,9,2,3,1
3813,2010-04-26,3,10,9,2,1,0
3818,2010-04-26,3,10,15,2,1,1
3826,2010-04-26,3,10,15,2,1,1
3848,2010-04-26,3,10,15,2,2,1
3853,2010-04-26,3,10,10,2,2,0
3855,2010-04-26,3,10,9,2,2,0
3861,2010-04-26,3,10,10,2,2,1
3864,2010-04-26,3,10,15,2,1,0
3865,2010-04-26,3,10,15,2,2,0
3867,2010-04-26,3,10,7,2,3,0
3869,2010-04-26,3,10,15,2,2,1
3870,2010-04-26,3,10,12,2,2,1
3885,2010-04-27,3,10,9,2,2,0
3888,2010-04-27,3,10,9,2,2,0
3901,2010-04-27,3,10,9,2,1,0
3902,2010-04-27,3,10,12,2,1,1
3906,2010-04-27,3,10,10,2,1,0
3907,2010-04-27,3,10,9,2,3,0
3910,2010-04-27,3,10,15,2,1,1
3925,2010-04-27,3,10,22,2,3,1
3929,2010-04-27,3,10,15,2,2,0
3930,2010-04-27,3,10,15,2,2,1
3932,2010-04-27,3,10,18,2,2,0
3937,2010-04-27,3,10,15,2,2,1
3940,2010-04-27,3,10,9,2,2,0
3941,2010-04-27,3,10,9,2,2,0
3946,2010-04-27,3,10,15,2,1,1
3950,2010-04-27,3,10,15,2,2,1
3951,2010-04-27,3,10,16,2,2,0
3959,2010-04-27,3,10,9,2,2,0
3975,2010-04-27,3,10,22,2,2,0
3977,2010-04-27,3,10,12,2,2,1
3979,2010-04-27,3,10,15,2,1,1
3983,2010-04-27,3,10,16,2,2,1
3984,2010-04-27,3,10,9,2,3,0
3986,2010-04-27,3,10,9,2,2,0
3991,2010-04-27,3,10,12,2,3,1
3998,2010-04-27,3,10,18,2,2,1
4001,2010-04-27,3,10,24,2,3,0
4020,2010-04-27,3,9,9,2,3,0
4026,2010-04-27,3,9,9,2,2,0
4029,2010-04-27,3,9,10,2,3,0
4036,2010-04-27,3,9,18,2,2,0
4043,2010-04-27,3,9,15,2,2,1
4057,2010-04-27,3,9,9,2,3,0
4058,2010-04-27,3,9,9,2,3,0
4073,2010-04-27,3,9,12,2,2,1
